Date,Song,Artist,Failed Reason
2/5/1966,Long Live Our Love,The Shangri-Las,No suitable video
1/29/1966,Fly Me To The Moon,Sam & Bill,No suitable video
2/5/1966,The Ballad Of The Green Berets,SSgt Barry Sadler,No suitable video
1/22/1966,My Baby Loves Me,Martha & The Vandellas,No suitable video
2/5/1966,At The Scene,The Dave Clark Five,No suitable video
1/8/1966,California Dreamin',The Mamas & The Papas,No suitable video
2/19/1966,I'm So Lonesome I Could Cry,B.J. Thomas And The Triumphs,No suitable video
2/19/1966,I'll Go Crazy,James Brown And The Famous Flames,No suitable video
2/26/1966,Get Ready,The Temptations,No suitable video
2/26/1966,Daydream,The Lovin' Spoonful,No suitable video
3/12/1966,What Goes On,The Beatles,No suitable video
3/5/1966,Satisfaction,Otis Redding,No suitable video
3/12/1966,Good Lovin',The Young Rascals,No suitable video
3/19/1966,The Boogaloo Party,The Flamingos,No suitable video
3/19/1966,I Hear Trumpets Blow,The Tokens,No suitable video
3/19/1966,I Spy (For The FBI),Jamo Thomas & His Party Brothers Orchestra,No suitable video
3/19/1966,"Love Is Me, Love Is You",Connie Francis,No suitable video
3/26/1966,A Sign Of The Times,Petula Clark,No suitable video
3/5/1966,Sure Gonna Miss Her,Gary Lewis And The Playboys,No suitable video
3/19/1966,Baby I Need You,The Manhattans,No suitable video
3/26/1966,You're Just About To Lose Your Clown,Ray Charles,No suitable video
3/26/1966,Young Love,Lesley Gore,No suitable video
4/2/1966,La La La,Gerry And The Pacemakers,No suitable video
4/2/1966,Try Too Hard,The Dave Clark Five,No suitable video
4/2/1966,Uptight (Everything's Alright),The Jazz Crusaders,No suitable video
4/2/1966,May My Heart Be Cast Into Stone,The Toys,No suitable video
4/16/1966,History Repeats Itself,Cab Calloway,No suitable video
4/23/1966,"The ""A"" Team",SSgt Barry Sadler,No suitable video
4/16/1966,The Sun Ain't Gonna Shine (Anymore),The Walker Bros.,No suitable video
4/30/1966,Downtown,Mrs. Miller,No suitable video
4/30/1966,Elvira,Dallas Frazier,No suitable video
4/23/1966,"How Does That Grab You, Darlin'?",Nancy Sinatra,No suitable video
4/30/1966,Dum-De-Da,Bobby Vinton,No suitable video
4/23/1966,You're The One,The Marvelettes,No suitable video
4/23/1966,Dirty Water,The Standells,No suitable video
4/30/1966,Twinkle Toes,Roy Orbison,No suitable video
4/30/1966,Please Don't Sell My Daddy No More Wine,The Greenwoods,No suitable video
5/7/1966,A Lover's Concerto,Mrs. Miller,No suitable video
5/7/1966,Peter Rabbit,Dee Jay And The Runaways,No suitable video
5/14/1966,Mama,B.J. Thomas,No suitable video
5/14/1966,Green Grass,Gary Lewis And The Playboys,No suitable video
5/21/1966,You Waited Too Long,The Five Stairsteps,No suitable video
6/25/1966,Stop! - Get A Ticket,Clefs Of Lavender Hill,No suitable video
6/4/1966,Little Girl,Syndicate Of Sound,No suitable video
5/21/1966,Hey Joe,The Leaves,No suitable video
6/18/1966,Billy And Sue,B.J. Thomas And The Triumphs,No suitable video
6/18/1966,Whole Lot Of Shakin' In My Heart (Since I Met You),The Miracles,No suitable video
6/11/1966,Please Tell Me Why,The Dave Clark Five,No suitable video
5/21/1966,Opus 17 (Don't You Worry 'Bout Me),"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
7/2/1966,On The Good Ship Lollipop,The Wonder Who?,No suitable video
7/9/1966,Tar And Cement,Verdelle Smith,No suitable video
7/2/1966,Pretty Flamingo,Manfred Mann,No suitable video
7/9/1966,Lonely Soldier,Mike Williams,No suitable video
7/2/1966,Ain't Gonna Cry No More,Brenda Lee,No suitable video
7/16/1966,You're Nobody Till Somebody Loves You,The Wonder Who?,No suitable video
7/16/1966,I Couldn't Live Without Your Love,Petula Clark,No suitable video
8/6/1966,World Of Fantasy,The Five Stairsteps,No suitable video
7/30/1966,Bring Back The Time,B.J. Thomas,No suitable video
8/6/1966,Too Soon To Know,Roy Orbison,No suitable video
7/2/1966,Love Letters,Elvis Presley,No suitable video
7/16/1966,Freddie Feelgood (And His Funky Little Five Piece Band),Ray Stevens,No suitable video
7/16/1966,Summer In The City,The Lovin' Spoonful,No suitable video
8/13/1966,Satisfied With You,The Dave Clark Five,No suitable video
8/13/1966,God Only Knows,The Beach Boys,No suitable video
8/13/1966,Ashes To Ashes,The Mindbenders,No suitable video
8/20/1966,Come Share The Good Times With Me,Julie Monday,No suitable video
8/20/1966,Ain't Nobody Home,Howard Tate,No suitable video
9/3/1966,Day Tripper,The Vontastics,No suitable video
8/20/1966,Dear Mrs. Applebee,Flip Cartridge,No suitable video
9/3/1966,I Chose To Sing The Blues,Ray Charles & The Raelets,No suitable video
8/27/1966,I Want To Be With You,Dee Dee Warwick,No suitable video
9/10/1966,Girl On A Swing,Gerry And The Pacemakers,No suitable video
9/17/1966,See See Rider,Eric Burdon & The Animals,No suitable video
9/24/1966,Melody For An Unknown Girl,The Unknowns,No suitable video
9/3/1966,I've Got You Under My Skin,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
9/3/1966,96 Tears,? (Question Mark) & The Mysterians,No suitable video
9/24/1966,Off To Dublin In The Green,The Abbey Tavern Singers,No suitable video
10/1/1966,Almost Persuaded No. 2,Ben Colder,No suitable video
9/10/1966,Tomorrow Never Comes,B.J. Thomas,No suitable video
10/1/1966,Little Man,Sonny & Cher,No suitable video
10/15/1966,The Wheel Of Hurt,Al Martino,No suitable video
10/22/1966,Every Day And Every Night,The Trolls,No suitable video
10/22/1966,Nineteen Days,The Dave Clark Five,No suitable video
10/8/1966,Lookin' For Love,Ray Conniff And The Singers,No suitable video
10/22/1966,Who Am I,Petula Clark,No suitable video
11/5/1966,Come Back,The Five Stairsteps,No suitable video
11/5/1966,(When She Needs Good Lovin') She Comes To Me,The Chicago Loop,No suitable video
11/12/1966,It's-A-Happening,The Magic Mushrooms,No suitable video
11/19/1966,I Need Somebody,? (Question Mark) & The Mysterians,No suitable video
10/22/1966,Games That Lovers Play,Wayne Newton,No suitable video
11/12/1966,Harlem Shuffle,The Traits,No suitable video
11/12/1966,Please Say You're Fooling,Ray Charles and his Orchestra,No suitable video
11/12/1966,Talk Talk,The Music Machine,No suitable video
11/5/1966,(Come 'round Here) I'm The One You Need,The Miracles,No suitable video
12/3/1966,Georgy Girl,The Seekers,No suitable video
12/10/1966,Questions And Answers,The In Crowd,No suitable video
12/3/1966,Words Of Love,The Mamas & The Papas,No suitable video
12/24/1966,Color My World,Petula Clark,No suitable video
1/7/1967,Wild Thing,Senator Bobby Featuring Bill Minkin,No suitable video
12/31/1966,Gimme Some Lovin',The Spencer Davis Group,No suitable video
12/17/1966,Dancing In The Street,The Mamas & The Papas,No suitable video
1/14/1967,Tramp,Lowell Fulsom,No suitable video
1/14/1967,Sweetest One,The Metros,No suitable video
12/10/1966,Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
1/7/1967,I've Got To Have A Reason,The Dave Clark Five,No suitable video
1/7/1967,"Mercy, Mercy, Mercy",Cannonball Adderley,No suitable video
1/14/1967,The Beat Goes On,Sonny & Cher,No suitable video
1/28/1967,Spooky,Mike Sharpe,No suitable video
1/14/1967,All,James Darren,No suitable video
1/28/1967,"Sunrise, Sunset",Roger Williams,No suitable video
1/14/1967,"Ride, Ride, Ride",Brenda Lee,No suitable video
1/28/1967,Skate Now,Lou Courtney,No suitable video
2/11/1967,Happy Together,The Turtles,No suitable video
2/18/1967,Morningtown Ride,The Seekers,No suitable video
2/25/1967,Jimmy Mack,Martha & The Vandellas,No suitable video
2/25/1967,"Mercy, Mercy, Mercy",Larry Williams & Johnny Watson,No suitable video
3/4/1967,Beggin',"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
3/4/1967,Don't Do It,Micky Dolenz,No suitable video
3/11/1967,That Acapulco Gold,The Rainy Daze,No suitable video
3/18/1967,For He's A Jolly Good Fellow,Bobby Vinton,No suitable video
3/25/1967,The Girl I Knew Somewhere,The Monkees,No suitable video
3/18/1967,I Want To Talk About You,Ray Charles,No suitable video
4/1/1967,Make A Little Love,Lowell Fulsom,No suitable video
4/8/1967,Buy For Me The Rain,The Nitty Gritty Dirt Band,No suitable video
4/1/1967,You Got What It Takes,The Dave Clark Five,No suitable video
4/8/1967,Here Comes My Baby,The Tremeloes,No suitable video
4/8/1967,Do The Thing,Lou Courtney,No suitable video
4/8/1967,Release Me (And Let Me Love Again),Engelbert Humperdinck,No suitable video
3/4/1967,This Is My Song,Petula Clark,No suitable video
3/25/1967,"Can't Get Enough Of You, Baby",? (Question Mark) & The Mysterians,No suitable video
4/15/1967,Happy Jack,The Who,No suitable video
4/8/1967,When I Was Young,Eric Burdon & The Animals,No suitable video
4/15/1967,Funky Broadway Part I,Dyke And The Blazers,No suitable video
4/15/1967,One Hurt Deserves Another,The Raelets/Ray Charles Orchestra,No suitable video
4/15/1967,Portrait Of My Love,The Tokens,No suitable video
4/15/1967,The Oogum Boogum Song,Brenton Wood,No suitable video
4/15/1967,Ain't Gonna Rest (Till I Get You),The Five Stairsteps,No suitable video
4/29/1967,Live,The Merry-Go-Round,No suitable video
4/29/1967,Respect,Aretha Franklin,No suitable video
5/13/1967,I Can't Help It (If I'm Still In Love With You),B.J. Thomas,No suitable video
5/13/1967,Let's Live For Today,The Grass Roots,No suitable video
5/6/1967,When Love Slips Away,Dee Dee Warwick,No suitable video
5/6/1967,Tramp,Otis & Carla,No suitable video
5/13/1967,Little Bit O' Soul,The Music Explosion,No suitable video
5/20/1967,Stop! And Think It Over,Perry Como,No suitable video
5/20/1967,Soul Finger,Bar-Kays,No suitable video
5/27/1967,Bowling Green,The Everly Brothers,No suitable video
5/27/1967,Windy,The Association,No suitable video
5/27/1967,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)",Bee Gees,No suitable video
6/3/1967,When The Good Sun Shines,Elmo & Almo,No suitable video
6/3/1967,Pay You Back With Interest,The Hollies,No suitable video
6/10/1967,C'mon Marianne,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
6/3/1967,Don't Sleep In The Subway,Petula Clark,No suitable video
6/10/1967,You Must Have Been A Beautiful Baby,The Dave Clark Five,No suitable video
6/17/1967,Silence Is Golden,The Tremeloes,No suitable video
6/10/1967,Girl (You Captivate Me),? (Question Mark) & The Mysterians,No suitable video
6/17/1967,Carrie-Anne,The Hollies,No suitable video
6/17/1967,You Wanted Someone To Play With (I Wanted Someone To Love),Frankie Laine,No suitable video
6/24/1967,Lonely Drifter,Pieces Of Eight,No suitable video
7/1/1967,Pictures Of Lily,The Who,No suitable video
6/24/1967,Don't Go Out Into The Rain (You're Going To Melt),Herman's Hermits,No suitable video
6/24/1967,A Whiter Shade Of Pale,Procol Harum,No suitable video
6/24/1967,You Only Live Twice,Nancy Sinatra,No suitable video
7/8/1967,Gentle On My Mind,Glen Campbell,No suitable video
7/15/1967,A Thousand Shadows,The Seeds,No suitable video
7/15/1967,To Love Somebody,Bee Gees,No suitable video
7/15/1967,Happy,The Blades Of Grass,No suitable video
7/15/1967,Happy,The Sunshine Company,No suitable video
7/22/1967,I'll Never Find Another You,Sonny James,No suitable video
7/22/1967,It's A Happening World,The Tokens,No suitable video
7/29/1967,Lonesome Road,The Wonder Who?,No suitable video
7/22/1967,All You Need Is Love,The Beatles,No suitable video
7/29/1967,Happy And Me,Don And The Goodtimes,No suitable video
7/8/1967,The River Is Wide,The Forum,No suitable video
7/29/1967,Cry Softly Lonely One,Roy Orbison,No suitable video
8/5/1967,San Franciscan Nights,Eric Burdon & The Animals,No suitable video
8/5/1967,Ha Ha Said The Clown,The Yardbirds,No suitable video
8/12/1967,A Little Bit Now,The Dave Clark Five,No suitable video
8/12/1967,Knock On Wood,Otis & Carla,No suitable video
8/19/1967,Love Bug Leave My Heart Alone,Martha & The Vandellas,No suitable video
8/26/1967,I Make A Fool Of Myself,Frankie Valli,No suitable video
8/19/1967,You've Got To Pay The Price,Al Kent,No suitable video
8/12/1967,Gimme Little Sign,Brenton Wood,No suitable video
8/26/1967,Put Your Mind At Ease,Every Mothers' Son,No suitable video
9/2/1967,There Goes The Lover,Gene Chandler,No suitable video
8/26/1967,Museum,Herman's Hermits,No suitable video
9/2/1967,Paper Sun,Traffic featuring Stevie Winwood,No suitable video
9/9/1967,Spreadin' Honey,The Watts 103rd Street Rhythm Band,No suitable video
9/2/1967,The Cat In The Window (The Bird In The Sky),Petula Clark,No suitable video
9/9/1967,How Can I Be Sure,The Young Rascals,No suitable video
9/9/1967,To Sir With Love,Lulu,No suitable video
9/16/1967,We Love You,The Rolling Stones,No suitable video
9/9/1967,Forget It,The Sandpebbles,No suitable video
9/30/1967,Even The Bad Times Are Good,The Tremeloes,No suitable video
9/30/1967,Holiday,Bee Gees,No suitable video
9/23/1967,More Than The Eye Can See,Al Martino,No suitable video
10/7/1967,Walkin' Proud,The Pete Klint Quintet,No suitable video
11/4/1967,Paper Cup,The 5th Dimension,No suitable video
10/28/1967,Lapland,The Baltimore And Ohio Marching Band,No suitable video
10/7/1967,Peas 'N' Rice,Freddie McCoy,No suitable video
10/14/1967,I Can See For Miles,The Who,No suitable video
10/21/1967,I Heard It Through The Grapevine,Gladys Knight And The Pips,No suitable video
11/11/1967,Itchycoo Park,Small Faces,No suitable video
11/11/1967,In And Out Of Love,Diana Ross & The Supremes,No suitable video
10/28/1967,Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
11/11/1967,Pony With The Golden Mane,Every Mothers' Son,No suitable video
11/11/1967,Where Is The Party,Helena Ferguson,No suitable video
11/11/1967,(The Lights Went Out In) Massachusetts,Bee Gees,No suitable video
11/18/1967,Red And Blue,The Dave Clark Five,No suitable video
11/25/1967,Baby You Got It,Brenton Wood,No suitable video
11/25/1967,A Letter To Dad,Every Father's Teenage Son,No suitable video
11/18/1967,Ten Little Indians,The Yardbirds,No suitable video
12/2/1967,The Other Man's Grass Is Always Greener,Petula Clark,No suitable video
11/25/1967,Love Power,The Sandpebbles,No suitable video
12/2/1967,Live For Life,Jack Jones,No suitable video
12/2/1967,Sockin' 1-2-3-4,John Roberts,No suitable video
11/25/1967,Cover Me,Percy Sledge,No suitable video
12/2/1967,I'm In Love,Wilson Pickett,No suitable video
12/16/1967,Best Of Both Worlds,Lulu,No suitable video
12/9/1967,Back Up Train,Al Greene & The Soul Mate's,No suitable video
12/16/1967,In Another Land,Bill Wyman,No suitable video
12/30/1967,United (Part 1),The Music Makers,No suitable video
12/16/1967,Am I That Easy To Forget,Engelbert Humperdinck,No suitable video
12/30/1967,To Give (The Reason I Live),Frankie Valli,No suitable video
12/23/1967,I Call It Love,The Manhattans,No suitable video
1/6/1968,Born Free,The Hesitations,No suitable video
1/13/1968,Funky Way,Calvin Arnold,No suitable video
12/23/1967,Darlin',The Beach Boys,No suitable video
1/13/1968,I Can Take Or Leave Your Loving,Herman's Hermits,No suitable video
1/6/1968,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,No suitable video
1/27/1968,Keep The Ball Rollin',Al Hirt,No suitable video
1/20/1968,To Each His Own,Frankie Laine,No suitable video
1/27/1968,No One Knows,Every Mothers' Son,No suitable video
2/3/1968,Carpet Man,The 5th Dimension,No suitable video
2/3/1968,Try It,Ohio Express,No suitable video
1/20/1968,Words,Bee Gees,No suitable video
2/17/1968,I'm Hypnotized,Anthony & The Imperials,No suitable video
2/3/1968,Cold Feet,Albert King,No suitable video
2/3/1968,People World,Jim & Jean,No suitable video
2/10/1968,Lovey Dovey,Otis & Carla,No suitable video
2/24/1968,That's A Lie,Ray Charles,No suitable video
2/17/1968,"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,No suitable video
2/17/1968,Kiss Me Goodbye,Petula Clark,No suitable video
2/24/1968,Ame Caline (Soul Coaxing),Raymond Lefevre and His Orchestra,No suitable video
3/16/1968,Funky Street,Arthur Conley,No suitable video
3/2/1968,Little Green Apples,Roger Miller,No suitable video
2/24/1968,Will You Love Me Tomorrow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",No suitable video
2/17/1968,Suddenly You Love Me,The Tremeloes,No suitable video
3/16/1968,The Impossible Dream,The Hesitations,No suitable video
3/23/1968,"Me, The Peaceful Heart",Lulu,No suitable video
3/16/1968,Tin Soldier,Small Faces,No suitable video
3/30/1968,Another Place Another Time,Jerry Lee Lewis,No suitable video
3/9/1968,Lovey Dovey Kinda Lovin',Brenton Wood,No suitable video
3/30/1968,I Will Always Think About You,The New Colony Six,No suitable video
3/30/1968,Show Time,Detroit Emeralds,No suitable video
4/6/1968,Look To Your Soul,Johnny Rivers,No suitable video
4/20/1968,We're Rolling On (Part I),The Impressions,No suitable video
3/30/1968,Call Me Lightning,The Who,No suitable video
4/6/1968,I Wanna Live,Glen Campbell,No suitable video
4/27/1968,Lili Marlene,Al Martino,No suitable video
4/6/1968,Jumbo,Bee Gees,No suitable video
3/30/1968,The Unknown Soldier,The Doors,No suitable video
5/11/1968,She's A Heartbreaker,Gene Pitney,No suitable video
4/6/1968,Mony Mony,Tommy James And The Shondells,No suitable video
5/4/1968,I Have A Dream,"Rev. Martin Luther King, Jr.",No suitable video
